Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bahrain,BHR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,82.0774231,,,,,,,,,,96.5787735,,,,,,,,,,97.25061035,,,,,,,,,97.58233643,,,,,,94.91680145,,
"Bahamas, The",BHS,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,98.73545837,,,,,,,,,99.84362793,,,,,,,,,,,99.1504364,,99.66747284,,,,,
Belarus,BLR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,99.80053711,,,,,,,,,,99.82820892,,,,,,,,,,99.84738922,,,,,,,,,
Belize,BLZ,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,78.01631927,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,75.8401413,,,,,,,,,,,,,,,,91.565979,,,,,,,,,96.11461639,,,,,,99.14457703,98.87940979,99.08429718,,98.77201843,98.82861328,,,99.40421295,,,
Brazil,BRA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,85.23654938,,,,,,,,,,,,,,,,,,,,95.71901703,,,,97.903862,,98.36165619,98.55943298,98.53111267,98.69203949,98.31874084,99.07315063,99.02082062,99.22972107,99.25031281,99.34670258,,,
Barbados,BRB,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.80000305,,,,,,,,,,,,,,99.90000153,,,,,,,,,,99.90000153,,,,,,,,,,99.90000153,,,,,,,,,,99.90000153,,,,
Brunei Darussalam,BRN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,93.23892212,,,,,,,,,,98.08379364,,,,,,,,,,98.91217041,,,,,,,,,,99.54605865,,,,,,,
Bhutan,BTN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.96425629,,,,,,,84.48773956,,,,,,
Botswana,BWA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,92.25187683,,,,,,,,,,,,95.59602356,,,,,,,,,,,99.40000153,,,,
Central African Republic,CAF,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,20.33835983,,,,,,,,,,,,,34.85174942,,,,,,,,,,,,49.01934814,,,,,,,,,,26.97133064,,,,,,,,
Canada,CAN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,99.4357605,99.43538666,99.43341827,99.44303894,99.43888092,99.43486786,99.43276978,99.43412781,99.4292984,99.42807007,99.42746735,99.42922211,99.42881775,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,97.11653137,,,,,,,,,,98.70085907,,,,,,,,,,99.18334198,,,,,,99.19580841,98.89002228,,99.60536957,,99.08693695,,99.44055939,,,
China,CHN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,82.09922028,,,,,,,,91.45469666,,,,,,,,,,98.50485992,,,,,,,,,,99.59304047,,,,,,,,
Cote d'Ivoire,CIV,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,37.84593964,,,,,,,,,,39.84909058,,52.12517166,,,,,,,,,,,,38.75008011,,47.03974915,,,,
Cameroon,CMR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,59.06317902,,,,,,,,,,,,,,,,,,,,,,,,77.96248627,,,,,,,77.48204803,,,76.42092896,,,,,,,,
"Congo, Dem. Rep.",COD,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.09069824,,,,,,53.25022125,,,,,76.65850067,,,,79.71484375,,
"Congo, Rep.",COG,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.94608307,,,,,,,
Colombia,COL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,96.28144073,,,97.56674194,,,,,,,,98.41068268,98.3748703,98.19490814,98.41899872,98.42687225,98.4347229,98.51719666,98.72434235,,,98.97284698,98.91533661,99.02526855,,
Comoros,COM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,54.89904022,,,,,,,,,,,,,,,,,,,,77.55761719,,,,,,,,,,,,69.59522247,,,,,,
Cabo Verde,CPV,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,86.41509247,,,,,,,,,,,,,,95.87999725,,,,,,,,98.3981781,,,98.73017883,,,
Costa Rica,CRI,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,97.53813171,,,,,,,,,,,,,,,,98.03840637,,,,,,,,,,,99.25811768,,,,,,,
Caribbean small states,CSS,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,94.95599365,94.98140717,95.1100235,95.23461151,95.36617279,95.52059937,95.76687622,95.88172913,96.04592896,96.20044708,96.33261108,96.43746948,96.53633881,96.58567047,97.00624847,97.03807831,97.04377747,96.97647095,,,,,,,,
Cuba,CUB,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.95368958,,,,,,,,,,99.89520264,,,,,,
Curacao,CUW,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.62332916,,,,,,,,,,,
Cyprus,CYP,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,99.66419983,,,,,,,,,99.81523895,,,,,,,,,,99.83831024,,,,,,,
Czech Republic,CZE,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,83.93852997,,,,,,,,,,,,,,,,,,,,,95.41705322,,,,,96.93073273,,,97.88349152,98.05374908,97.7692337,98.2525177,98.04480743,98.03096008,98.86737061,,
Algeria,DZA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,62.21147919,,,,,,,,,,,,,,,86.13398743,,,,89.138237,,91.7399292,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,74.43270874,74.63954926,76.53540802,78.46827698,80.3795166,82.01083374,83.75388336,84.59777069,85.7232132,86.73744202,87.60887909,89.19274139,91.37796783,91.68599701,91.97667694,92.06707764,92.13957214,92.16754913,92.31352997,92.45642853,92.7526474,95.88303375,96.00993347,96.15090942,97.43502808,96.34529877,96.49810028,96.74564362,97.96942139,98.08717346,98.00894928,98.36852264,98.81313324,98.80735779,98.80690002,98.37621307,98.41069794,98.46311951,98.5735321,98.55519104,98.57071686,,
Early-demographic dividend,EAR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,50.44755936,50.79420853,51.76194,52.73735809,53.66365051,54.52202988,55.28033829,56.22047043,57.08824158,58.1661911,59.09540939,60.0444603,61.54557037,60.78704071,62.01287842,63.4260788,64.54666901,65.86354065,66.73735809,67.99488831,69.2780304,70.34854889,71.24317169,72.9015274,74.07788849,75.10591125,76.0304718,77.08358765,77.90408325,79.13790894,79.16143036,80.3311615,81.32460022,82.9749527,83.89351654,84.49951935,84.74640656,86.57102203,87.32408142,88.30612946,89.07962799,89.79221344,,
East Asia & Pacific,EAS,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,76.98005676,77.13411713,78.80951691,80.51316071,82.19007874,83.62268829,85.15664673,85.88114166,86.87226868,87.77526093,88.5594635,90.00251007,92.0005188,92.28311157,92.55097198,92.6395874,92.71172333,92.74285889,92.88072205,93.02047729,93.29563904,96.15229797,96.27245331,96.4036026,97.57945251,96.58158875,96.72036743,96.94667816,98.07884979,98.18541718,98.11083984,98.44394684,98.85752869,98.85211182,98.85204315,98.45220947,98.48655701,98.53793335,98.64260101,98.62732697,98.64340973,,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,96.57569885,97.43222046,97.47605133,97.53848267,97.61385345,97.70121002,97.52021027,97.62081909,97.68608856,97.76841736,97.8535614,97.93731689,98.01909637,98.1035614,98.1783371,98.27793884,98.29370117,98.29049683,98.34909821,98.3996582,98.42698669,98.42823029,98.58616638,98.60823822,98.63561249,98.67446136,99.11186218,99.22588348,99.36528015,99.44400787,99.51016235,99.5504303,99.59552765,99.66590118,,
Europe & Central Asia,ECS,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,98.3690033,98.40831757,98.49230194,98.40830994,98.45452118,98.4834671,98.51673889,98.55123138,98.5856781,98.64647675,98.70819092,98.76789093,98.83937836,98.86891937,98.88848877,98.94203186,98.97405243,99.01390839,99.04564667,99.13359833,99.14241028,99.16944122,99.18551636,99.42603302,99.49516296,99.56777954,99.61215973,99.64775085,99.67323303,99.69893646,99.73300934,,
Ecuador,ECU,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,92.27893066,,,,,,,,95.83325195,,,,,,,,,,,96.49344635,,,,,,98.56421661,98.47519684,98.88308716,98.85410309,98.80532074,98.89453888,98.63247681,99.1869278,98.91229248,99.13691711,,
"Egypt, Arab Rep.",EGY,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,38.1226387,,,,,,,,,,54.00466156,,,,,,,,,,66.93154144,,,,,,,,,78.94998932,81.75144958,,,,84.30693054,,86.05158997,90.32540131,,,,86.81054688,
Euro area,EMU,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,99.13049316,99.14151764,99.15338135,99.16391754,99.16365814,99.16539764,99.16616058,99.21884155,99.27033997,99.32776642,99.38095093,99.43818665,99.49742126,99.55677795,99.56072998,99.62772369,99.71064758,99.72367859,99.70755768,99.74008942,99.7144928,99.73140717,99.75341034,99.74358368,99.74646759,99.74388123,99.75332642,99.75785065,99.75135803,,
Eritrea,ERI,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.48339844,,,,,,82.57652283,,,,,,,,,,
Spain,ESP,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,98.64257813,,,,,,,,,,99.56967926,,,,,,,,,,,,,99.53495789,99.50209045,,99.5581131,99.60260773,99.55731964,99.68636322,99.74597168,99.70571899,99.64289093,99.68681335,99.69419098,99.60605621,,
Estonia,EST,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,99.90450287,,,,,,,,,,,99.81336212,,,,,,,,,,,99.95903778,,,,,,,
Ethiopia,ETH,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,28.08016968,,,,,,,,,,38.5,33.29975128,,47.04113007,,,,,,,,,,,
European Union,EUU,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,99.16352081,99.17198944,99.18118286,99.18969727,99.19151306,99.19436646,99.19667053,99.24546051,99.2928009,99.34243011,99.38928223,99.38153839,99.42849731,99.47844696,99.49485779,99.54936218,99.61473846,99.62236023,99.61499786,99.63858795,99.62654114,99.6987381,99.72039032,99.72125244,99.72955322,99.73426819,99.74604797,99.75354767,,,
Fragile and conflict affected situations,FCS,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,59.98474884,60.39245987,60.77725983,61.15550995,61.56481934,61.89936829,62.14168167,63.10353088,63.35393143,63.78248978,64.34526825,64.84671783,65.29315186,66.09725189,66.38464355,66.80951691,66.80477905,67.06018066,66.97762299,64.35614014,64.33183289,64.14089966,61.74126816,62.16249084,64.10547638,64.68929291,65.13439941,66.02115631,66.77365875,67.55712891,,
Finland,FIN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,92.1140213,,,,,,,,,,,,,,,,,,,89.42925262,,,,,,
United Kingdom,GBR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.86235809,,,,,,,,,,,,99.72914124,,,,
Ghana,GHA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4887085,,,,,,,,,,83.23452759,,,,,,,,
Gibraltar,GIB,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,13.47280025,,,,,,,34.06903839,,,,,,,21.79673004,,,,37.21017838,,,,
"Gambia, The",GMB,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.39434052,,,,,,,,,,,,,56.12097931,,,,,
Guinea-Bissau,GNB,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,17.80347061,,,,,,,,,,,,,,,,,,,,,45.90364838,,,,,,,,,,,,,,49.75632095,,,,
Equatorial Guinea,GNQ,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.62423706,,,,,,,,,,,,,,98.69999695,,,,
Greece,GRC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,98.88445282,,,,,,,,,,98.97937775,,,,,,,,,,98.99115753,,,,99.52480316,,99.67996216,,99.46972656,,98.90698242,,,,,,,
Grenada,GRD,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.0774231,,,,,,,,,,,,,,99.5,,,,,,,,,,99.5,,,,,,,,,,99.5,,,,,,,,,,99.5,,,,
Greenland,GRL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,70.72151184,,,,,,,,78.39067841,,,,,,,,,,91.94236755,89.77037048,93.26924896,,,,
Guam,GUM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,95.90540314,,,,,,,,,,99.8476181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.67021942,,,,,97.03701019,,,,
High income,HIC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.91031647,,,,,,95.05452728,,,95.87750244,96.92601013,95.98721313,96.2985611,96.29225922,96.9996109,97.2456131,,
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,48.69641113,49.5060997,49.88777924,50.47653961,51.02349091,50.81906128,50.61309814,50.89646149,51.23308182,51.21731186,51.81175995,52.522789,52.18780899,52.98178864,53.95088959,54.81158829,55.06198883,56.04222107,57.9785881,57.28097916,55.97941971,57.92694092,57.60218048,58.71720886,59.96437836,63.40975189,65.14614868,65.86794281,67.38559723,68.40795135,69.61312103,,
Croatia,HRV,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,99.60440063,,,,,,,,,,99.6532135,,,,,,,,,,99.73571777,,,,,,,
Haiti,HTI,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,51.05302048,,,,,,,,,,,,,,,,,,,,,80.68945313,,,70.48078156,,,,,,,,,,,,
Hungary,HUN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,99.31812286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,
