Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2013,2014,2015,2016,2017,2018
ARE,United Arab Emirates,749,Index of economic freedom score,Regional Rank,3,2,2,2,1,1
ARE,United Arab Emirates,750,Property rights score,Value,55,55,55,55,76.7,76.3
ARE,United Arab Emirates,751,Freedom from corruption score,Value,68,66.4,69,70,,
ARE,United Arab Emirates,752,Fiscal freedom score,Value,99.9,99.6,99.5,95,,
ARE,United Arab Emirates,753,Gov't spending score,Value,85.1,83.1,85.8,76.1,67.4,70.9
ARE,United Arab Emirates,754,Business freedom score,Value,74,74.4,74.7,79.6,81.1,79.9
ARE,United Arab Emirates,755,Labor freedom score,Value,77.6,82.9,83.8,80.7,80.9,81.1
ARE,United Arab Emirates,756,Monetary freedom score,Value,83.9,84.6,83.8,81.3,78.4,80.2
ARE,United Arab Emirates,757,Trade freedom score,Value,82.6,82.5,82.4,82.8,83.5,84.3
ARE,United Arab Emirates,758,Investment freedom score,Value,35,35,40,45,40,40
ARE,United Arab Emirates,759,Financial freedom score,Value,50,50,50,60,60,60
ARG,Argentina,747,Index of economic freedom score,Value,46.7,44.6,44.1,43.8,50.4,52.3
ARG,Argentina,748,Index of economic freedom score,Rank,160,166,169,169,156,144
ARG,Argentina,749,Index of economic freedom score,Regional Rank,27,27,27,27,26,26
ARG,Argentina,750,Property rights score,Value,15,15,15,15,32.4,40.8
ARG,Argentina,751,Freedom from corruption score,Value,30,29.5,34,34,,
ARG,Argentina,752,Fiscal freedom score,Value,64.3,63.5,66.8,66.1,,
ARG,Argentina,753,Gov't spending score,Value,52.1,49.9,41.2,51.3,54.6,55.6
ARG,Argentina,754,Business freedom score,Value,60.1,53.9,52.8,56,57.3,56.2
ARG,Argentina,755,Labor freedom score,Value,47.4,44.9,43.3,43.9,46.1,43.3
ARG,Argentina,756,Monetary freedom score,Value,60.4,60,59.6,44,50.9,51.3
ARG,Argentina,757,Trade freedom score,Value,67.6,68.9,68.8,67.4,66.7,70.3
ARG,Argentina,758,Investment freedom score,Value,40,30,30,30,50,55
ARG,Argentina,759,Financial freedom score,Value,30,30,30,30,50,60
ARM,Armenia,747,Index of economic freedom score,Value,69.4,68.9,67.1,67,70.3,68.7
ARM,Armenia,748,Index of economic freedom score,Rank,38,41,52,54,33,44
ARM,Armenia,749,Index of economic freedom score,Regional Rank,17,18,23,23,19,20
ARM,Armenia,750,Property rights score,Value,30,30,20,20,55.5,55.3
ARM,Armenia,751,Freedom from corruption score,Value,26,26.7,36,37,,
ARM,Armenia,752,Fiscal freedom score,Value,88,86.5,84.4,83.8,,
ARM,Armenia,753,Gov't spending score,Value,82.1,81.3,82.8,80.7,81.7,80
ARM,Armenia,754,Business freedom score,Value,87.6,83.1,82.7,77.5,78.5,78.7
ARM,Armenia,755,Labor freedom score,Value,77.1,78.5,64.3,62.2,72.4,69.9
ARM,Armenia,756,Monetary freedom score,Value,73,77,70.6,72.8,72.8,75.8
ARM,Armenia,757,Trade freedom score,Value,85.4,85.5,85.4,85.6,80.2,80
ARM,Armenia,758,Investment freedom score,Value,75,70,75,80,80,75
ARM,Armenia,759,Financial freedom score,Value,70,70,70,70,70,70
AUS,Australia,747,Index of economic freedom score,Value,82.6,82,81.4,80.3,81,80.9
AUS,Australia,748,Index of economic freedom score,Rank,3,3,4,5,5,5
AUS,Australia,749,Index of economic freedom score,Regional Rank,3,3,4,4,4,4
AUS,Australia,750,Property rights score,Value,90,90,90,90,81.7,78.7
AUS,Australia,751,Freedom from corruption score,Value,88,87.7,81,80,,
AUS,Australia,752,Fiscal freedom score,Value,66.4,64.2,63.7,63.2,,
AUS,Australia,753,Gov't spending score,Value,62.8,62.6,61.8,62,59,61.2
AUS,Australia,754,Business freedom score,Value,95.5,94.6,94.1,89.4,89.3,89.1
AUS,Australia,755,Labor freedom score,Value,83.5,79.2,81.6,77.2,84.1,79.7
AUS,Australia,756,Monetary freedom score,Value,83.8,80.5,85.3,85.2,86.4,87.4
AUS,Australia,757,Trade freedom score,Value,86.2,86.4,86.4,86.4,86.2,86.2
AUS,Australia,758,Investment freedom score,Value,80,85,80,80,80,80
AUS,Australia,759,Financial freedom score,Value,90,90,90,90,90,90
AUT,Austria,747,Index of economic freedom score,Value,71.8,72.4,71.2,71.7,72.3,71.8
AUT,Austria,748,Index of economic freedom score,Rank,25,24,30,28,30,32
AUT,Austria,749,Index of economic freedom score,Regional Rank,14,14,16,15,17,17
AUT,Austria,750,Property rights score,Value,90,90,90,90,86,83.5
AUT,Austria,751,Freedom from corruption score,Value,78,75.5,69,72,,
AUT,Austria,752,Fiscal freedom score,Value,51.1,51,50.1,50.7,,
AUT,Austria,753,Gov't spending score,Value,23.5,23.5,19.8,22.4,19.3,19.4
AUT,Austria,754,Business freedom score,Value,73.6,76.3,78,79.4,76.9,75.5
AUT,Austria,755,Labor freedom score,Value,80.4,80.5,76.7,72.5,67.6,66.7
AUT,Austria,756,Monetary freedom score,Value,79.3,79.5,80.3,81.7,83.4,83.7
AUT,Austria,757,Trade freedom score,Value,86.8,87.8,88,88,87,86.9
AUT,Austria,758,Investment freedom score,Value,85,90,90,90,90,90
AUT,Austria,759,Financial freedom score,Value,70,70,70,70,70,70
AZE,Azerbaijan,747,Index of economic freedom score,Value,59.7,61.3,61,60.2,63.6,64.3
AZE,Azerbaijan,748,Index of economic freedom score,Rank,88,81,85,91,68,67
AZE,Azerbaijan,749,Index of economic freedom score,Regional Rank,14,13,17,16,15,14
AZE,Azerbaijan,750,Property rights score,Value,25,20,20,20,50.5,53.6
AZE,Azerbaijan,751,Freedom from corruption score,Value,24,22.7,28,29,,
AZE,Azerbaijan,752,Fiscal freedom score,Value,85.5,88.1,88.1,88,,
AZE,Azerbaijan,753,Gov't spending score,Value,67.8,64.8,59.7,56.7,57.5,59.4
AZE,Azerbaijan,754,Business freedom score,Value,69.2,73.5,74.5,70.3,71.5,72.3
AZE,Azerbaijan,755,Labor freedom score,Value,79.4,77.9,79.1,75.2,75,71.9
AZE,Azerbaijan,756,Monetary freedom score,Value,73.5,78.8,79.8,77,73.6,65.6
AZE,Azerbaijan,757,Trade freedom score,Value,77.2,77.2,76,75.8,74.4,74.6
AZE,Azerbaijan,758,Investment freedom score,Value,55,60,55,60,55,55
AZE,Azerbaijan,759,Financial freedom score,Value,40,50,50,50,50,60
BDI,Burundi,747,Index of economic freedom score,Value,49,51.4,53.7,53.9,53.2,50.9
BDI,Burundi,748,Index of economic freedom score,Rank,148,141,132,133,139,157
BDI,Burundi,749,Index of economic freedom score,Regional Rank,34,31,27,28,30,34
BDI,Burundi,750,Property rights score,Value,20,20,20,20,25.7,17.6
BDI,Burundi,751,Freedom from corruption score,Value,19,15.9,21,20,,
BDI,Burundi,752,Fiscal freedom score,Value,71.5,73.5,73.5,73.8,,
BDI,Burundi,753,Gov't spending score,Value,22.6,51.9,61.3,70.5,69.5,78.6
BDI,Burundi,754,Business freedom score,Value,58.4,59.8,61.4,54.2,53.5,53
BDI,Burundi,755,Labor freedom score,Value,66.4,63.1,68.1,67.6,67.4,63.2
BDI,Burundi,756,Monetary freedom score,Value,68.7,68.2,69.8,73.8,75.2,70.2
BDI,Burundi,757,Trade freedom score,Value,78.9,71.8,72.2,74.2,74.2,69.2
BDI,Burundi,758,Investment freedom score,Value,55,60,60,55,55,55
BDI,Burundi,759,Financial freedom score,Value,30,30,30,30,30,30
BEL,Belgium,747,Index of economic freedom score,Value,69.2,69.9,68.8,68.4,67.8,67.5
BEL,Belgium,748,Index of economic freedom score,Rank,40,35,40,44,49,52
BEL,Belgium,749,Index of economic freedom score,Regional Rank,18,17,18,21,25,25
BEL,Belgium,750,Property rights score,Value,80,80,80,80,83.3,81.2
BEL,Belgium,751,Freedom from corruption score,Value,75,74.2,75,76,,
BEL,Belgium,752,Fiscal freedom score,Value,45,44.8,43.6,44.2,,
BEL,Belgium,753,Gov't spending score,Value,14.5,14.8,10.2,11,9.6,12.1
BEL,Belgium,754,Business freedom score,Value,91.6,89.9,90.7,85.4,82,80.6
BEL,Belgium,755,Labor freedom score,Value,69.8,72.7,63.7,60.5,61.1,59.5
BEL,Belgium,756,Monetary freedom score,Value,79.3,79.5,81.7,84,84.9,82.6
BEL,Belgium,757,Trade freedom score,Value,86.8,87.8,88,88,87,86.9
BEL,Belgium,758,Investment freedom score,Value,80,85,85,85,85,85
BEL,Belgium,759,Financial freedom score,Value,70,70,70,70,70,70
BEN,Benin,747,Index of economic freedom score,Value,57.6,57.1,58.8,59.3,59.2,56.7
BEN,Benin,748,Index of economic freedom score,Rank,101,113,99,101,96,120
BEN,Benin,749,Index of economic freedom score,Regional Rank,15,18,11,12,11,17
BEN,Benin,750,Property rights score,Value,30,30,30,30,36,35.5
BEN,Benin,751,Freedom from corruption score,Value,30,29.5,36,39,,
BEN,Benin,752,Fiscal freedom score,Value,76.1,68.3,68.3,68.1,,
BEN,Benin,753,Gov't spending score,Value,86.1,86.1,86.7,84.9,85.9,85.6
BEN,Benin,754,Business freedom score,Value,45.4,51,55.2,51.3,51.9,60.7
BEN,Benin,755,Labor freedom score,Value,49.7,50.5,53.2,53.8,52.4,49.9
BEN,Benin,756,Monetary freedom score,Value,79.9,75.4,79.9,82.2,85.4,84.7
BEN,Benin,757,Trade freedom score,Value,59.3,60,58.4,58.8,68.7,55.6
BEN,Benin,758,Investment freedom score,Value,70,70,70,75,80,80
BEN,Benin,759,Financial freedom score,Value,50,50,50,50,50,50
BFA,Burkina Faso,747,Index of economic freedom score,Value,59.9,58.9,58.6,59.1,59.6,60
BFA,Burkina Faso,748,Index of economic freedom score,Rank,86,98,102,104,93,95
BFA,Burkina Faso,749,Index of economic freedom score,Regional Rank,10,13,13,14,10,8
BFA,Burkina Faso,750,Property rights score,Value,30,30,25,30,38.2,42.1
BFA,Burkina Faso,751,Freedom from corruption score,Value,30,31.3,38,38,,
BFA,Burkina Faso,752,Fiscal freedom score,Value,81.4,83,82.4,82.8,,
BFA,Burkina Faso,753,Gov't spending score,Value,82,82.3,79.8,76.8,82.5,83.7
BFA,Burkina Faso,754,Business freedom score,Value,61.2,60.7,49.6,46.3,46.4,51.5
BFA,Burkina Faso,755,Labor freedom score,Value,56.4,55,57.8,58.9,53.3,47
BFA,Burkina Faso,756,Monetary freedom score,Value,80.6,78.8,80,84.9,84.6,84.5
BFA,Burkina Faso,757,Trade freedom score,Value,72.5,67.8,68.2,68.2,69.2,65.8
BFA,Burkina Faso,758,Investment freedom score,Value,55,60,65,65,70,65
BFA,Burkina Faso,759,Financial freedom score,Value,50,40,40,40,40,40
BGD,Bangladesh,747,Index of economic freedom score,Value,52.6,54.1,53.9,53.3,55,55.1
BGD,Bangladesh,748,Index of economic freedom score,Rank,132,131,131,137,128,128
BGD,Bangladesh,749,Index of economic freedom score,Regional Rank,28,27,27,29,28,29
BGD,Bangladesh,750,Property rights score,Value,20,20,20,20,34.9,32.4
BGD,Bangladesh,751,Freedom from corruption score,Value,27,23.3,27,25,,
BGD,Bangladesh,752,Fiscal freedom score,Value,72.7,72.5,72.7,72.7,,
BGD,Bangladesh,753,Gov't spending score,Value,92.1,92.3,92,93.6,94,94.2
BGD,Bangladesh,754,Business freedom score,Value,68,70.8,62.2,52.6,53.4,52.1
BGD,Bangladesh,755,Labor freedom score,Value,51.9,51.9,63.7,62.5,68.7,66.4
BGD,Bangladesh,756,Monetary freedom score,Value,65.4,65.9,67.7,68.2,68.6,69
BGD,Bangladesh,757,Trade freedom score,Value,54,59,59,63.6,63.6,61.2
BGD,Bangladesh,758,Investment freedom score,Value,55,55,45,45,50,50
BGD,Bangladesh,759,Financial freedom score,Value,20,30,30,30,30,30
BGR,Bulgaria,747,Index of economic freedom score,Value,65,65.7,66.8,65.9,67.9,68.3
BGR,Bulgaria,748,Index of economic freedom score,Rank,60,61,55,60,47,47
BGR,Bulgaria,749,Index of economic freedom score,Regional Rank,29,28,26,28,23,23
BGR,Bulgaria,750,Property rights score,Value,30,30,30,30,62.5,63.6
BGR,Bulgaria,751,Freedom from corruption score,Value,33,35.2,41,43,,
BGR,Bulgaria,752,Fiscal freedom score,Value,94,91.2,91,91.1,,
BGR,Bulgaria,753,Gov't spending score,Value,64.2,64.5,64.5,60.4,58.4,60.5
BGR,Bulgaria,754,Business freedom score,Value,73.6,73.5,68.5,66.9,66.7,64.3
BGR,Bulgaria,755,Labor freedom score,Value,74.8,80.2,76.6,71.6,68.3,66.1
BGR,Bulgaria,756,Monetary freedom score,Value,78.6,79.6,83.2,82.6,83.3,82.8
BGR,Bulgaria,757,Trade freedom score,Value,86.8,87.8,88,88,87,86.9
BGR,Bulgaria,758,Investment freedom score,Value,55,55,65,65,70,70
BGR,Bulgaria,759,Financial freedom score,Value,60,60,60,60,60,60
BHR,Bahrain,747,Index of economic freedom score,Value,75.5,75.1,73.4,74.3,68.5,67.7
BHR,Bahrain,748,Index of economic freedom score,Rank,12,13,18,18,44,50
BHR,Bahrain,749,Index of economic freedom score,Regional Rank,1,1,1,1,4,4
BHR,Bahrain,750,Property rights score,Value,55,60,60,60,64.2,62.1
BHR,Bahrain,751,Freedom from corruption score,Value,51,49.4,48,49,,
BHR,Bahrain,752,Fiscal freedom score,Value,99.9,99.9,99.9,99.9,,
BHR,Bahrain,753,Gov't spending score,Value,72.4,71.4,73.1,75.4,69.8,66.4
BHR,Bahrain,754,Business freedom score,Value,75.8,76.3,72.5,71.9,69.4,75.5
BHR,Bahrain,755,Labor freedom score,Value,90.4,82,83.1,79.1,78.7,76.5
BHR,Bahrain,756,Monetary freedom score,Value,72.5,78.4,74.2,74.6,80.7,79.9
BHR,Bahrain,757,Trade freedom score,Value,82.8,78.6,78.6,82.6,82.8,83.4
BHR,Bahrain,758,Investment freedom score,Value,75,75,65,70,75,75
BHR,Bahrain,759,Financial freedom score,Value,80,80,80,80,80,80
BHS,"Bahamas, The",747,Index of economic freedom score,Value,70.1,69.8,68.7,70.9,,
BHS,"Bahamas, The",748,Index of economic freedom score,Rank,35,36,41,31,,
BHS,"Bahamas, The",749,Index of economic freedom score,Regional Rank,3,4,4,2,,
BHS,"Bahamas, The",750,Property rights score,Value,70,70,70,70,,
BHS,"Bahamas, The",751,Freedom from corruption score,Value,73,66.6,71,71,,
BHS,"Bahamas, The",752,Fiscal freedom score,Value,97,97.3,97.8,97.9,,
BHS,"Bahamas, The",753,Gov't spending score,Value,84.9,84.1,83.2,84.3,,
BHS,"Bahamas, The",754,Business freedom score,Value,71.3,70.7,68.9,70.7,,
BHS,"Bahamas, The",755,Labor freedom score,Value,81.6,81.5,75.3,72.8,,
BHS,"Bahamas, The",756,Monetary freedom score,Value,75.8,75.1,78.8,78.5,,
BHS,"Bahamas, The",757,Trade freedom score,Value,47,52.2,52.2,64,,
BHS,"Bahamas, The",758,Investment freedom score,Value,30,30,30,40,,
BHS,"Bahamas, The",759,Financial freedom score,Value,70,70,60,60,,
BIH,Bosnia and Herzegovina,747,Index of economic freedom score,Value,57.3,58.4,59,58.6,60.2,61.4
BIH,Bosnia and Herzegovina,748,Index of economic freedom score,Rank,103,101,97,108,92,91
BIH,Bosnia and Herzegovina,749,Index of economic freedom score,Regional Rank,38,38,38,39,36,38
BIH,Bosnia and Herzegovina,750,Property rights score,Value,20,20,20,20,41.2,39.5
BIH,Bosnia and Herzegovina,751,Freedom from corruption score,Value,32,33.9,42,39,,
BIH,Bosnia and Herzegovina,752,Fiscal freedom score,Value,83.2,82.9,82.9,83.9,,
BIH,Bosnia and Herzegovina,753,Gov't spending score,Value,26.9,27.4,27.3,33.1,33.7,41.5
BIH,Bosnia and Herzegovina,754,Business freedom score,Value,54.3,55.5,53.5,54.6,47.4,49.3
BIH,Bosnia and Herzegovina,755,Labor freedom score,Value,61.2,62.4,63.4,59.4,59.3,59.6
BIH,Bosnia and Herzegovina,756,Monetary freedom score,Value,79,80.1,84,84.3,84,83.5
BIH,Bosnia and Herzegovina,757,Trade freedom score,Value,86.4,86.9,87.2,87,86.6,87.8
BIH,Bosnia and Herzegovina,758,Investment freedom score,Value,70,75,70,65,65,65
BIH,Bosnia and Herzegovina,759,Financial freedom score,Value,60,60,60,60,60,60
BLR,Belarus,747,Index of economic freedom score,Value,48,50.1,49.8,48.8,58.6,58.1
BLR,Belarus,748,Index of economic freedom score,Rank,154,150,153,157,104,108
BLR,Belarus,749,Index of economic freedom score,Regional Rank,42,42,42,43,40,42
BLR,Belarus,750,Property rights score,Value,20,20,20,20,50.9,53.5
BLR,Belarus,751,Freedom from corruption score,Value,24,24.6,29,31,,
BLR,Belarus,752,Fiscal freedom score,Value,88.8,89.2,86.4,88.6,,
BLR,Belarus,753,Gov't spending score,Value,43.5,61.2,54.7,44.8,48.7,47.9
BLR,Belarus,754,Business freedom score,Value,75.2,73.4,72,69,71.3,74.1
BLR,Belarus,755,Labor freedom score,Value,76.9,77.7,80.1,74.9,74.6,73.1
BLR,Belarus,756,Monetary freedom score,Value,40.7,33.9,44.5,50.4,60.4,62.3
BLR,Belarus,757,Trade freedom score,Value,80.8,81.4,81,79,80.6,81.4
BLR,Belarus,758,Investment freedom score,Value,20,30,20,20,30,30
BLR,Belarus,759,Financial freedom score,Value,10,10,10,10,10,10
BLZ,Belize,747,Index of economic freedom score,Value,57.3,56.7,56.8,57.4,58.6,57.1
BLZ,Belize,748,Index of economic freedom score,Rank,102,115,117,118,101,116
BLZ,Belize,749,Index of economic freedom score,Regional Rank,20,21,20,20,22,23
BLZ,Belize,750,Property rights score,Value,30,30,30,35,43.5,42.1
BLZ,Belize,751,Freedom from corruption score,Value,0,6.7,6.7,6.7,,
BLZ,Belize,752,Fiscal freedom score,Value,82.2,82.1,82.4,82.1,,
BLZ,Belize,753,Gov't spending score,Value,72.6,74.2,78.3,71.9,68.6,65.5
BLZ,Belize,754,Business freedom score,Value,72.6,71.6,59.1,63.3,62.7,62.9
BLZ,Belize,755,Labor freedom score,Value,71.4,67.2,61.8,60.3,53.6,48.7
BLZ,Belize,756,Monetary freedom score,Value,77.3,77.6,79.3,79.2,79.6,78.3
BLZ,Belize,757,Trade freedom score,Value,77.2,67.8,70.4,70,70.1,64.9
BLZ,Belize,758,Investment freedom score,Value,40,40,50,55,50,55
BLZ,Belize,759,Financial freedom score,Value,50,50,50,50,50,50
BOL,Bolivia,747,Index of economic freedom score,Value,47.9,48.4,46.8,47.4,47.7,44.1
BOL,Bolivia,748,Index of economic freedom score,Rank,156,158,163,160,168,173
BOL,Bolivia,749,Index of economic freedom score,Regional Rank,25,25,26,26,30,30
BOL,Bolivia,750,Property rights score,Value,10,10,10,10,25.7,19
BOL,Bolivia,751,Freedom from corruption score,Value,28,28.1,34,35,,
BOL,Bolivia,752,Fiscal freedom score,Value,88.8,87.1,86.8,86.4,,
BOL,Bolivia,753,Gov't spending score,Value,64.1,62.5,60.9,55.5,49.1,46.5
BOL,Bolivia,754,Business freedom score,Value,55.8,53.4,53.7,58.8,58.9,59.2
BOL,Bolivia,755,Labor freedom score,Value,30.8,29.9,25.5,31.7,35.8,49.2
BOL,Bolivia,756,Monetary freedom score,Value,67.4,70,69.7,65,66.4,67.5
BOL,Bolivia,757,Trade freedom score,Value,74.3,77.6,77.6,76.6,76,75.5
BOL,Bolivia,758,Investment freedom score,Value,10,15,10,15,5,5
BOL,Bolivia,759,Financial freedom score,Value,50,50,40,40,40,40
BRA,Brazil,747,Index of economic freedom score,Value,57.7,56.9,56.6,56.5,52.9,51.4
BRA,Brazil,748,Index of economic freedom score,Rank,100,114,118,122,140,153
BRA,Brazil,749,Index of economic freedom score,Regional Rank,19,20,21,21,25,27
BRA,Brazil,750,Property rights score,Value,50,50,50,45,55,55.8
BRA,Brazil,751,Freedom from corruption score,Value,38,37.9,42,43,,
BRA,Brazil,752,Fiscal freedom score,Value,70.3,68.8,68.4,69.7,,
BRA,Brazil,753,Gov't spending score,Value,54.8,54.1,50.9,55.2,53.1,50.7
BRA,Brazil,754,Business freedom score,Value,53,53.8,53.6,61.4,61.3,58.6
BRA,Brazil,755,Labor freedom score,Value,57.2,49.8,52.1,52.5,52.3,46.8
BRA,Brazil,756,Monetary freedom score,Value,74.4,69.9,69.4,64.2,67,71.4
BRA,Brazil,757,Trade freedom score,Value,69.7,69.3,69.6,69.4,69.4,68.5
BRA,Brazil,758,Investment freedom score,Value,50,55,50,55,50,50
BRA,Brazil,759,Financial freedom score,Value,60,60,60,50,50,50
BRB,Barbados,747,Index of economic freedom score,Value,69.3,68.3,67.9,68.3,54.5,57
BRB,Barbados,748,Index of economic freedom score,Rank,39,45,46,45,130,117
BRB,Barbados,749,Index of economic freedom score,Regional Rank,6,6,7,7,24,24
BRB,Barbados,750,Property rights score,Value,80,80,80,80,55.5,51.4
BRB,Barbados,751,Freedom from corruption score,Value,78,77.9,75,74,,
BRB,Barbados,752,Fiscal freedom score,Value,74.5,74,73.8,75.8,,
BRB,Barbados,753,Gov't spending score,Value,54.2,49.8,42.1,37.6,39,39.3
BRB,Barbados,754,Business freedom score,Value,74.8,72.8,71.6,70.2,69.6,70.5
BRB,Barbados,755,Labor freedom score,Value,84.4,78.4,69.2,67.3,67.7,63.2
BRB,Barbados,756,Monetary freedom score,Value,72.1,74.6,78.2,80.8,83.7,85
BRB,Barbados,757,Trade freedom score,Value,60.5,60.6,63.8,62.2,62.2,62.2
BRB,Barbados,758,Investment freedom score,Value,55,55,65,75,75,70
BRB,Barbados,759,Financial freedom score,Value,60,60,60,60,60,60
BRN,Brunei Darussalam,747,Index of economic freedom score,Value,,69,68.9,67.3,69.8,64.2
BRN,Brunei Darussalam,748,Index of economic freedom score,Rank,,40,39,51,35,70
BRN,Brunei Darussalam,749,Index of economic freedom score,Regional Rank,,10,10,10,9,16
BRN,Brunei Darussalam,750,Property rights score,Value,,40,35,30,62.5,56.6
BRN,Brunei Darussalam,751,Freedom from corruption score,Value,,53.3,60,60,,
BRN,Brunei Darussalam,752,Fiscal freedom score,Value,,90.2,87,87,,
BRN,Brunei Darussalam,753,Gov't spending score,Value,,66.1,63.6,57.3,61.2,57.7
BRN,Brunei Darussalam,754,Business freedom score,Value,,68.2,68.3,71.3,76.6,79.9
BRN,Brunei Darussalam,755,Labor freedom score,Value,,96.5,96.9,90.2,90.4,88.9
BRN,Brunei Darussalam,756,Monetary freedom score,Value,,74.2,76.6,76.8,76.1,75.1
BRN,Brunei Darussalam,757,Trade freedom score,Value,,81.8,81.8,85.2,89.1,89.1
BRN,Brunei Darussalam,758,Investment freedom score,Value,,70,70,65,65,65
BRN,Brunei Darussalam,759,Financial freedom score,Value,,50,50,50,50,50
BTN,Bhutan,747,Index of economic freedom score,Value,55,56.7,57.4,59.5,58.4,61.8
BTN,Bhutan,748,Index of economic freedom score,Rank,122,116,115,97,107,87
BTN,Bhutan,749,Index of economic freedom score,Regional Rank,25,24,24,20,21,20
BTN,Bhutan,750,Property rights score,Value,60,60,60,60,60.1,60.9
BTN,Bhutan,751,Freedom from corruption score,Value,57,58.8,63,65,,
BTN,Bhutan,752,Fiscal freedom score,Value,82.7,82.9,82.6,83.1,,
BTN,Bhutan,753,Gov't spending score,Value,38.8,57.2,60.1,67.5,73.6,72.2
BTN,Bhutan,754,Business freedom score,Value,60.5,59.4,61.9,65.2,72.6,72.5
BTN,Bhutan,755,Labor freedom score,Value,84.4,83.6,81.1,77.6,77.6,75.7
BTN,Bhutan,756,Monetary freedom score,Value,67.3,65.8,66,66.9,67.1,70.5
BTN,Bhutan,757,Trade freedom score,Value,49.5,49.4,49.4,60,60,74.4
BTN,Bhutan,758,Investment freedom score,Value,20,20,20,20,20,20
BTN,Bhutan,759,Financial freedom score,Value,30,30,30,30,30,30
BWA,Botswana,747,Index of economic freedom score,Value,70.6,72,69.8,71.1,70.1,69.9
BWA,Botswana,748,Index of economic freedom score,Rank,30,27,36,30,34,35
BWA,Botswana,749,Index of economic freedom score,Regional Rank,2,2,2,2,2,2
BWA,Botswana,750,Property rights score,Value,70,70,70,70,58.1,57.7
BWA,Botswana,751,Freedom from corruption score,Value,61,61.2,64,63,,
BWA,Botswana,752,Fiscal freedom score,Value,79.5,81,79.5,79.1,,
BWA,Botswana,753,Gov't spending score,Value,65.1,69.8,61.9,68.4,61.2,63.4
BWA,Botswana,754,Business freedom score,Value,69,68.5,66.8,66.4,68.8,69.5
BWA,Botswana,755,Labor freedom score,Value,69.8,69.7,70,68.5,68.6,64.6
